ticker,calidad,crecimiento,valoracion,solidez,compuesto,exclusion,sector_gics,kpis_con_dato
GRMN,0.6241659266810341,0.39178342050364606,0.34197839210188535,2.7056842033943225,2.855755484323919,,Consumer Discretionary,13
GWW,-0.03111623755894103,-0.1629576331788186,-0.10178790655521905,0.8136843970898555,0.34661528326759933,,Industrials,16
HAL,-0.10229730109986658,-0.42309707260729396,-0.45006245484877244,0.41152151715638907,-0.41233689189797135,,Energy,14
HAS,0.6522600672952809,0.5146162352987682,0.16400180792636437,0.2867357590977962,1.0727140203208319,,Consumer Discretionary,16
HCA,-0.16514349306367085,0.048046775691506595,0.40913761025094486,-0.8873281967069018,-0.5987912346603919,,Health Care,11
HD,-0.10632958790912979,-0.3081759242701804,-0.08611421394455826,-0.0773335860491177,-0.5277726543216916,,Consumer Discretionary,16
HII,-0.7647793647575335,0.005934977474590486,-1.6347793781420006,-0.28263317855726433,-2.0698727167559445,,Industrials,12
HLT,0.16896283408305027,0.024879923853966007,-0.5302140965773249,-0.7750804452020731,-0.9166731634613948,,Consumer Discretionary,14
HON,0.14741712565854434,0.05904715589622036,0.3338527271919515,-0.4238910380640166,0.042937755370815386,,Industrials,16
HPE,-0.4044308169184776,-0.2693712589700271,0.4679518013741744,-1.3376019022268384,-1.1084667474455954,,Information Technology,15
HPQ,-0.8765149910300206,-0.29099622744570736,0.4272427447584053,-0.5390996821294062,-0.925211555166577,,Information Technology,15
HRL,-0.5237249414563125,-0.3006127172972408,0.24115675513497956,0.6615011993381263,-0.021590204705823575,,Consumer Staples,16
HSIC,-0.2511359910790892,-0.3669376935489867,0.4340600296185011,-0.35815437018359697,-0.5561023612149659,,Health Care,17
HST,-0.08305735922993684,-0.011350446772936118,0.4140263872952792,1.126180826893468,1.5463522876731646,,Real Estate,13
HUBB,0.15643944008761437,0.05506149346258151,0.1026746929954784,0.24247698794698755,0.3759922021419447,,Industrials,16
HUM,-0.17067212634347503,0.038741399994018044,0.6482756669642306,0.26986876187046943,0.5114407402225971,,Health Care,15
HWM,0.43485240465248015,0.4906224311702945,-0.6320734336429219,0.4291047794722401,0.5014690873600688,,Industrials,15
IBM,-0.07493910218882466,-0.1645672811145307,0.3432055047249465,-0.8414107291752367,-0.5493411237266372,,Information Technology,13
ICE,0.046908909573281594,-0.09256814715841193,0.037390817347139234,-0.5636540335528418,-0.11005036326382198,,Financials,15
IDXX,0.40589597545755607,0.27169623042113367,-1.0473601989592825,-0.05784204927359832,-0.4640387760675776,,Health Care,15
IEX,0.1280314895843558,-0.07705391515454803,0.3648033914063205,1.3858533478109676,1.3178858764172703,,Industrials,14
IFF,0.01836839092933377,-0.5571993743066206,-0.4053932320093277,-0.4662779828274963,-0.7035443801933423,,Materials,15
INCY,0.6833487839442998,0.7638221044057678,0.3442774094580232,1.2441638960271533,2.3191514244259324,,Health Care,9
INTC,-0.9105394095374378,-0.6768314557131782,0.4459296670378368,-0.41629752874909737,-1.1183805790315897,,Information Technology,14
INTU,-0.03303414200813546,-0.027172910589349675,-0.09983140354887432,-0.20342343340357175,-0.2896389129018321,,Information Technology,16
IP,-0.907955874606996,-0.3138347009582221,-0.32828281974288953,-0.7602091120187945,-1.2662584168913982,,Materials,13
IQV,0.032351261294338136,-0.0925954514866703,0.21775412976708022,-0.7797932498680856,-0.6204863542693259,,Health Care,16
IR,-0.03048676921465978,-0.0882742865595182,0.291672254632977,0.19467341192254894,0.23295238330404527,,Industrials,16
IRM,-0.7447110824615645,1.3453280937846852,-0.20063621116370545,-0.6158411359965291,-0.20100611581239472,,Real Estate,13
ISRG,0.3728639932684281,0.4546470285053125,-0.5461364735761568,2.716614443532483,2.288915846034194,,Health Care,13
IT,0.3562515526275109,-0.5561811019016404,-0.2723888317655334,-0.43351502992219565,-0.6660054840649381,,Information Technology,16
ITW,0.5927935083019019,-0.23260940848700096,-0.4580185806021017,-0.2635865897086214,-0.31857848672568817,,Industrials,14
